,e_class,prep_tweet
0,1,not feel humiliate
1,1,feel hopeless damned hopeful care awake
2,2,m grab minute post feel greedy wrong
3,5,feel nostalgic fireplace know property
4,2,feel grouchy
5,1,ve feel little burden lately not sure
6,3,ve take milligram time recommend ve fall asleep lot fast feel like funny
7,0,feel confused life teenager jade year old man
8,4,petrona year feel petrona perform huge profit
9,5,feel romantic
10,1,feel like suffering m see mean
11,4,feel running divine experience expect type spiritual encounter
12,2,think s easy time year feel dissatisfied
13,1,feel low energy m thirsty
14,4,immense sympathy general point possible proto writer try find time write corner life sign agent let publishing contract feel little precious
15,4,feel reassure anxiety
16,1,not feel embarrassed
17,1,feel pretty pathetic time
18,1,start feel sentimental doll child begin collection vintage barbie doll sixty
19,0,feel compromise skeptical value unit work
20,2,feel irritated reject say
21,0,feel completely overwhelmed strategy help feel ground pour heart journal form letter god end list thing grateful
22,4,feeling amuse delight
23,4,able help chai lifeline support encouragement great feeling glad able help
24,2,feel like fuck not usually eat morning
25,1,love wish good long tolerate effect bm life fact turn bitter angry person particularly kind people feel stress
26,1,feel inhibit else kitchen like m paint else picture
27,1,overwhelmed feel defeat
28,2,feel kinda appal feel like need explain wide lenghth body measure etc pp
29,4,feel superior dead chicken grieve child
30,4,giddy feel elegant perfectly fit pencil skirt
31,0,remember feel acutely distressed day
32,3,see hear read past couple day leave feel impressed company
33,2,climb hill feeling frustrate d pretty pace entirely wrong course factor hamper dent day
34,4,t imagine real life scenario emotionally connect feel totally accept safe morally acceptable close prolonged physical contact sex win t expect subsequently
35,4,sure feel content
36,4,feel need creative
37,4,want know cause feel splendid self step away
38,2,feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed
39,4,need need need protect feel safe small find season word
40,4,plan share everyday life story travel adventure inspiration handmade creation hope feel inspired
41,4,christmas tree get feel festive m sure spur start book
42,4,ve wear little concealer day m feel brave not want pale perfect
43,4,feel strongly passionate jerk decide poke fun
44,1,feel discouraged rob peter pay paul cow year not afford cow way
45,1,feel listless need new thing different
46,4,lose special mind don t worry m sane want feel feel read book don t know time say sam special guarantee time paragraph tell special
47,5,t let sad feeling want accept home
48,4,boat trip denmark
49,2,stop feel cold begin feel hot
50,4,need feel dough sure perfect
51,1,find feel little discouraged morning
52,2,feel selfish spoil
53,0,stymie little bit write feel unsure story unintende
54,4,bag qaf look s cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun feed kayle s daddy gerle awake unkind u
55,1,feel know basically like fake realm science fiction
56,1,hate live dad roof give excuse asshole s provide live think feel need feel unwelcome possible ill leave
57,3,feel pleasantly surprised supportiveness ease new situation
58,4,feeling anymore vigorous sexual activity come yes misspell cumme day part begin fall
59,4,feel mom s graceful warm love smile rob time nurture heal
60,4,feel talk brother law extremely popular think stiff
61,5,eat feel gentle tingle feel healing take place cellular level
62,0,feel like pressure young beautiful thin depend trend have girl rejuvenate butt implant
63,0,begin have time week feeling torture hallucination move people figure sound vibration
64,3,nearly finish week detox feel amazing
65,2,feel selfish read post ask prayer consider deserve prayer answer
66,2,know pain parent feel enraged child violent
67,1,roller coaster emotion suppose feeling unpleasant come
68,5,suppose truth need share not feel faithful lately ve dwell doubt uncertainty faith
69,4,feel brave buy clearly makeup
70,1,feel miserable c proud mum earth
71,1,figure family love matter feel embarrassed michelle go ballistic
72,4,don t necessarily think f bomb sex necessary story feel reassure print journal
73,1,feel ovary ache talk like
74,1,didn t feel like chri take picture unimportant stuff
75,1,m tired book ready find give unsuitable image feeling blame result sit
76,4,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief
77,4,think feeling nay important thing
78,4,feel completely honored influence young talente fully alive beautiful girl woman
79,2,feel angered firey
80,1,feel like miserable piece garbage
81,2,feel like need list leanne appal thought not miss
82,2,drive dannika school feel little bit rush greet turn corner
83,2,remember feel hellip furious shooter
84,4,feel happy excited learn thing
85,4,feel show horse people trust relaxed horse safe quiet handle frequently
86,4,couple thing leave start december feel smug
87,4,think u feel realize ok
88,1,feel worthless time struggle find work
89,0,able lay bed dark feel terrified
90,5,ready meet mom airport feel supportive arm
91,2,m feel bitter today mood strange entire day guess
92,1,mum brother pass away having involve car accident bring present pass form exam fly colour
93,2,let animosity feel wrong
94,5,talk dog feel understand word read emotion know supportive decide home
95,1,feel like throw away shitty piece shit paper
96,4,m start feel wryly amuse banal comedy error life turn
97,4,find body beautiful want people feel vital body
98,1,hear owner feel victimize association association attorney property manager
99,2,goodbye fam sad crying feel like heartless bitch hey m pretty excited fly time know spend year country
100,5,will not let child cry feel love lily little go opportunity last short month
101,4,alba feel good m fitting
102,4,feel excited m feel like ton catch
103,4,know good feel look honor word help start
104,1,mean hard work obtain high technical skill wushu feel kinda ashamed motivated see kid wushu performance heartedly despite tiredness
105,4,feel like thing get little overwhelming spritz toner help calm soothe
106,4,hope realize little effort require person feel well situation family member college high school friend neighbor street complete stranger
107,4,feel festive today m go tree soon ve finish catch week s going on coronation street
108,4,find ill seriously
109,1,alright class combination feel unsuccessful man handle stress late horrible week result cry finish grapple
110,4,feel rarely advance worthwhile cause stick rule post online not prepared somebodys face
111,4,feel useful
112,5,feel like pain imagine passionate group idea cause pain
113,1,feel ugly m inclined wear ratty jean sweatshirt beautiful dress wear pair heel house boost self esteem slightly definitely win t bother buy new pair
114,1,m feel homesick m feel alright
115,4,dance feel pretty
116,4,workout morning feel fabulous
117,1,feel eye touch word eye know assuredly return love know shall vain
118,4,feel fabulous friday morning start awful cramp work
119,4,feel honoured able friend share brotherhood
120,0,begin feel apprehensive thick black rain cloud storm sky town
121,0,state reason feel fearful feel unsafe
122,0,didn t feel like getting shake tsa pull creative croissant lunch
